dbn,school_name,school_type,enrollment,survey_pp_RI,survey_pp_CT,survey_pp_SE,survey_pp_ES,survey_pp_SF,survey_pp_TR,gender_female_pct,gender_male_pct,QR_1_1,QR_1_2,QR_2_2,QR_3_4,QR_4_2,QR_1_4,QR_1_3,QR_3_1,QR_4_1,QR_5_1,ELL,IEP,hs_overage_undercredit_hoi_pct,temp_housing_pct,hra_elig_pct,median_distance,Principal_experience,Teach_3_more_exp,val_attendance_hs_all,val_chronic_absent_hs_all,Teacher_attendance,n_pct_cpci_all,val_pct_cpci_all,n_grad_pct_4_all,val_grad_pct_4_all,n_grad_pct_6_all,val_grad_pct_6_all,n_act_engl,val_act_engl,n_act_math,val_act_math,n_act_read,val_act_read,n_act_scie,val_act_scie,n_mean_act_engl,val_mean_act_engl,n_mean_act_math,val_mean_act_math,n_mean_act_read,val_mean_act_read,n_mean_act_scie,val_mean_act_scie,n_mean_sat_math,val_mean_sat_math,n_mean_sat_writ,val_mean_sat_writ,n_pct_act_engl,val_pct_act_engl,n_pct_act_math,val_pct_act_math,n_pct_sat_math,val_pct_sat_math,n_pct_sat_writ,val_pct_sat_writ
07X600,Alfred E. Smith Career and Technical Education Hig,High School,444,0.76,0.87,0.8,0.89,0.94,0.89,0.133,0.867,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,0.176,0.3,0.077,0.158,0.782,2.4,9.2,0.947,0.833,0.444,0.982,101,0.95,101,0.941,103,0.913,101,0,101,0,101,0,101,0,,,,,,,,,100,401,100,423,101,0,101,0,101,0.03,101,0.158
07X670,Health Opportunities High School,High School,387,0.74,0.85,0.84,0.84,0.85,0.91,0.579,0.421,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Developing,Developing,Developing,0.106,0.302,0.127,0.176,0.863,2,2.8,0.75,0.84,0.535,0.977,112,0.621,112,0.741,167,0.683,112,0,112,0,112,0,112,0,,,,,,,,,82,404,82,430,112,0,112,0,112,0.054,112,0.205
08X269,Bronx Studio School for Writers and Artists,High School,345,0.63,0.67,0.74,0.69,0.86,0.82,0.545,0.455,Proficient,Developing,Developing,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,0.101,0.241,0.032,0.116,0.814,0.5,4,0.764,0.881,0.345,0.977,82,0.683,82,0.793,90,0.833,82,0,82,0,82,0,82,0,2,,2,,2,,2,,73,427,73,438,82,0,82,0,82,0.037,82,0.183
08X282,Women's Academy of Excellence,High School,199,0.84,0.95,0.84,0.89,0.82,0.93,1,0,Proficient,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.266,0.201,0.186,0.166,0.894,2.2,17.2,0.85,0.801,0.438,0.98,58,0.69,58,0.724,64,0.734,58,0,58,0,58,0,58,0,,,,,,,,,40,410,40,403,58,0,58,0,58,0.052,58,0.103
08X293,Renaissance High School for Musical Theater and th,High School,447,0.82,0.97,0.86,0.97,0.89,0.95,0.606,0.394,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,0.054,0.242,0.069,0.119,0.743,2.1,13.2,0.875,0.821,0.517,0.982,114,0.64,114,0.86,120,0.875,114,0,114,0,114,0,114,0,,,,,,,,,88,431,88,443,114,0,114,0,114,0.096,114,0.246
08X312,Millennium Art Academy,High School,391,0.81,0.93,0.84,0.92,0.89,0.94,0.614,0.386,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Developing,Proficient,Developing,0.043,0.23,0.061,0.143,0.762,1.7,9.2,0.857,0.867,0.347,0.988,100,0.82,100,0.79,103,0.835,100,0,100,0,100,0,100,0,,,,,,,,,74,418,74,436,100,0,100,0,100,0.06,100,0.17
08X320,Pelham Lab High School,High School,419,0.75,0.9,0.83,0.92,0.93,0.96,0.465,0.535,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.124,0.239,0.091,0.146,0.726,1.8,8.2,0.784,0.886,0.381,0.982,119,0.496,119,0.756,110,0.764,119,0,119,0,119,0,119,0,,,,,,,,,94,422,94,412,119,0,119,0,119,0.076,119,0.118
08X348,Schuylerville Preparatory High School,High School,373,0.66,0.81,0.75,0.82,0.84,0.87,0.434,0.566,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.139,0.236,0.15,0.139,0.756,1.7,1,0.846,0.819,0.438,0.979,100,0.835,101,0.851,98,0.827,101,0,101,0,101,0,101,0,,,,,,,,,76,409,76,438,100,0,100,0,100,0.04,100,0.19
08X349,Bronx River High School,High School,464,0.76,0.89,0.82,0.94,0.88,0.88,0.394,0.606,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Proficient,0.114,0.254,0.075,0.119,0.744,1.9,8.2,0.8,0.856,0.408,0.98,98,0.633,98,0.847,95,0.821,98,0,98,0,98,0,98,0,,,,,,,,,76,416,76,415,98,0,98,0,98,0.031,98,0.122
08X367,"Archimedes Academy for Math, Science and Technolog",High School,325,0.68,0.74,0.78,0.78,0.87,0.86,0.397,0.603,Proficient,Proficient,Proficient,Proficient,Developing,Well Developed,Proficient,Proficient,Proficient,Proficient,0.102,0.295,0.034,0.163,0.785,1.1,14.2,0.913,0.809,0.459,0.977,81,0.346,81,0.654,94,0.809,81,0.025,81,0.025,81,0.025,81,0.025,2,,2,,2,,2,,64,446,64,429,81,0.012,81,0.025,81,0.136,81,0.185
08X376,Antonia Pantoja Preparatory Academy: A College Boa,High School,228,0.69,0.89,0.78,0.9,0.88,0.93,0.395,0.605,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,0.189,0.25,0.123,0.228,0.816,0.7,6.6,0.889,0.816,0.539,0.964,59,0.814,59,0.881,61,0.836,59,0,59,0,59,0,59,0,,,,,,,,,52,403,52,432,59,0,59,0,59,0.034,59,0.203
08X405,Herbert H. Lehman High School,High School,997,0.72,0.85,0.79,0.82,0.88,0.88,0.422,0.578,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.113,0.232,0.053,0.123,0.72,2,6,0.726,0.874,0.365,0.988,172,0.334,172,0.802,183,0.732,172,0,172,0,172,0,172,0,,,,,,,,,127,433,127,441,172,0,172,0,172,0.081,172,0.221
08X530,Longwood Preparatory Academy,High School,352,0.73,0.84,0.81,0.9,0.95,0.92,0.497,0.503,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Proficient,Well Developed,Proficient,0.159,0.304,0.125,0.199,0.866,1.3,5.6,0.778,0.896,0.404,0.981,85,0.465,85,0.824,76,0.75,85,0,85,0,85,0,85,0,,,,,,,,,62,411,62,424,85,0,85,0,85,0.047,85,0.129
