SchoolDigger.com School Ranking Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York High School Rankings / School Year: 2018-2019 Test Grades:  9th, 10th, 11th, 12th, End-of-course, Tests: Regents Algebra I, Regents Chemistry, Regents Algebra II, Regents English, Regents Geometry, Regents Earth Science, Regents Global History and Geography, Regents Living Environment, Regents Physics, Regents U.S. History and Government, Schools: All",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyright 2022, SchoolDigger.com. Not for commercial use. Do not distribute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank (2018-19),School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2018-19),Average Standard Score (2017-18),Rank (2017-18),Rank Change from (2017-18),SchoolDigger Star Rating
32,Nyc Ischool,https://www.schooldigger.com/go/NY/schools/0007706065/school.aspx,New York City Geographic District # 2,https://www.schooldigger.com/go/NY/district/00077/search.aspx,131 Ave Of The Americas,New York,https://www.schooldigger.com/go/NY/city/New+York/search.aspx,10013,New York County,(917) 237-7300,9,12,No,No,Yes,No,464,32.9,14,34.50%,14.70%,1.10%,8.20%,21.30%,0.00%,8.80%,45.90%,83.6,80.6,71,39,5
33,Nyc Lab High School For Collaborative Studies,https://www.schooldigger.com/go/NY/schools/0007702857/school.aspx,New York City Geographic District # 2,https://www.schooldigger.com/go/NY/district/00077/search.aspx,333 W 17th St,New York,https://www.schooldigger.com/go/NY/city/New+York/search.aspx,10011,New York County,(212) 691-6119,9,12,No,No,No,No,471,41,11.4,26.50%,3.60%,1.10%,18.50%,12.30%,0.20%,7.90%,56.50%,83.6,74.1,226,193,5
34,Starpoint High School,https://www.schooldigger.com/go/NY/schools/2805003798/school.aspx,Starpoint Central School District,https://www.schooldigger.com/go/NY/district/28050/search.aspx,4363 Mapleton Rd,Lockport,https://www.schooldigger.com/go/NY/city/Lockport/search.aspx,14094,Niagara County,(716) 210-2300,9,12,No,No,No,No,840,62.3,13.4,18.50%,1.50%,0.40%,1.30%,1.70%,0.00%,1.80%,93.30%,83.5,82.2,52,18,5
35,Edgemont Junior-Senior High School,https://www.schooldigger.com/go/NY/schools/1020004509/school.aspx,Edgemont Union Free School District,https://www.schooldigger.com/go/NY/district/10200/search.aspx,200 White Oak Ln,Scarsdale,https://www.schooldigger.com/go/NY/city/Scarsdale/search.aspx,10583,Westchester County,(914) 725-1500,7,12,Yes,No,No,No,966,76.4,12.6,0.30%,1.40%,0.10%,33.70%,7.20%,0.00%,5.40%,52.10%,83.4,84.7,24,-11,5
36,Clarence Senior High School,https://www.schooldigger.com/go/NY/schools/0759000543/school.aspx,Clarence Central School District,https://www.schooldigger.com/go/NY/district/07590/search.aspx,9625 Main St,Clarence,https://www.schooldigger.com/go/NY/city/Clarence/search.aspx,14031,Erie County,(716) 407-9020,8,12,Yes,No,No,No,1467,107,13.7,7.10%,0.80%,0.30%,3.60%,2.20%,0.10%,1.90%,91.10%,83.4,83.2,38,2,5
37,Manhasset Secondary School,https://www.schooldigger.com/go/NY/schools/1827001650/school.aspx,Manhasset Union Free School District,https://www.schooldigger.com/go/NY/district/18270/search.aspx,200 Memorial Pl,Manhasset,https://www.schooldigger.com/go/NY/city/Manhasset/search.aspx,11030,Nassau County,(516) 267-7600,9,12,No,No,No,No,1091,97.9,11.1,3.70%,2.10%,0.00%,21.00%,4.30%,0.10%,1.20%,71.30%,83.4,83.9,33,-4,5
38,Orchard Park High School,https://www.schooldigger.com/go/NY/schools/2190003110/school.aspx,Orchard Park Central School District,https://www.schooldigger.com/go/NY/district/21900/search.aspx,4040 Baker Rd,Orchard Park,https://www.schooldigger.com/go/NY/city/Orchard+Park/search.aspx,14127,Erie County,(716) 209-6243,9,12,No,No,No,No,1488,103.5,14.3,12.40%,1.00%,0.10%,1.90%,1.60%,0.20%,0.50%,94.80%,83.3,82.9,40,2,5
39,High School For Dual Language And Asian Studies,https://www.schooldigger.com/go/NY/schools/0007705532/school.aspx,New York City Geographic District # 2,https://www.schooldigger.com/go/NY/district/00077/search.aspx,350 Grand St,New York,https://www.schooldigger.com/go/NY/city/New+York/search.aspx,10002,New York County,(212) 475-4097,9,12,Yes,No,No,No,403,25,16.1,88.60%,2.20%,0.00%,91.10%,3.50%,0.00%,1.00%,2.20%,83.2,82.4,49,10,5
40,Pearl River High School,https://www.schooldigger.com/go/NY/schools/2256003178/school.aspx,Pearl River Union Free School District,https://www.schooldigger.com/go/NY/district/22560/search.aspx,275 E Central Ave,Pearl River,https://www.schooldigger.com/go/NY/city/Pearl+River/search.aspx,10965,Rockland County,(845) 620-3800,8,12,Yes,No,No,No,1002,77.6,12.9,12.60%,1.80%,0.00%,6.30%,9.80%,0.00%,0.40%,81.70%,83.2,82.9,41,1,5
41,East Aurora High School,https://www.schooldigger.com/go/NY/schools/0954000726/school.aspx,East Aurora Union Free School District,https://www.schooldigger.com/go/NY/district/09540/search.aspx,1003 Center St,East Aurora,https://www.schooldigger.com/go/NY/city/East+Aurora/search.aspx,14052,Erie County,(716) 687-2505,9,12,No,No,No,No,644,38.5,16.7,15.20%,0.50%,0.00%,1.20%,2.80%,0.00%,0.50%,95.00%,83.2,82.4,51,10,5
42,Robert M Grable Junior Mount Sinai High School,https://www.schooldigger.com/go/NY/schools/2004004827/school.aspx,Mount Sinai Union Free School District,https://www.schooldigger.com/go/NY/district/20040/search.aspx,110 N Country Rd,Mount Sinai,https://www.schooldigger.com/go/NY/city/Mount+Sinai/search.aspx,11766,Suffolk County,(631) 870-2800,9,12,Yes,No,No,No,817,58.2,14,8.00%,2.10%,0.10%,7.20%,5.30%,0.00%,0.60%,84.70%,83.1,82.7,43,1,5
